# Time [ms], MC signal
1.352994,0.506
1.354015,0.507
1.355071,0.505
1.356033,0.506
1.357059,0.505
1.358027,0.506
1.359045,0.506
1.359993,0.507
1.360991,0.505
1.362004,0.505
1.363034,0.506
1.364000,0.505
1.365002,0.508
1.366000,0.506
1.366989,0.505
1.368022,0.506
1.369067,0.504
1.370006,0.506
1.371018,0.506
1.372065,0.504
1.373029,0.506
1.373988,0.505
1.375056,0.504
1.376040,0.507
1.377046,0.505
1.378018,0.507
1.379044,0.507
1.380026,0.506
1.380985,0.505
1.382004,0.508
1.383050,0.507
1.383989,0.508
1.385009,0.506
1.385995,0.507
1.387021,0.507
1.388012,0.505
1.389058,0.508
1.390042,0.506
1.391012,0.506
1.391989,0.507
1.393008,0.506
1.394055,0.507
1.395009,0.506
1.396048,0.507
1.397052,0.504
1.398021,0.506
1.399067,0.505
1.400005,0.507
1.401017,0.506
1.402071,0.506
1.403034,0.506
1.403992,0.505
1.405053,0.506
1.406077,0.507
1.407020,0.506
1.407986,0.508
1.409033,0.506
1.409999,0.506
1.411047,0.508
1.411997,0.506
1.413005,0.506
1.414047,0.505
1.415002,0.506
1.416027,0.506
1.417032,0.506
1.417989,0.507
1.418995,0.506
1.420036,0.506
1.420984,0.507
1.422000,0.507
1.423050,0.508
1.424000,0.506
1.425063,0.507
1.426002,0.506
1.427028,0.505
1.428021,0.508
1.429012,0.507
1.430019,0.506
1.430990,0.506
1.432027,0.505
1.433011,0.506
1.434060,0.505
1.434996,0.507
1.436055,0.504
1.436995,0.505
1.438023,0.506
1.438990,0.506
1.440017,0.506
1.440990,0.506
1.442052,0.506
1.443002,0.507
1.444065,0.506
1.444989,0.506
1.446045,0.504
1.446989,0.507
1.448025,0.507
1.449006,0.504
1.450008,0.507
1.451050,0.507
1.452022,0.507
1.453064,0.507
1.454067,0.506
1.455000,0.505
1.456048,0.508
1.457034,0.505
1.458073,0.506
1.459037,0.505
1.459989,0.506
1.461048,0.507
1.462020,0.506
1.463018,0.507
1.463997,0.508
1.465034,0.506
1.466008,0.505
1.467008,0.505
1.468044,0.506
1.469023,0.505
1.470052,0.506
1.471025,0.507
1.472006,0.507
1.473005,0.507
1.473984,0.505
1.475030,0.505
1.475995,0.508
1.477011,0.508
1.478039,0.506
1.478996,0.504
1.480025,0.504
1.480989,0.507
1.482055,0.505
1.483028,0.506
1.484009,0.506
1.485036,0.506
1.486008,0.506
1.486993,0.505
1.487990,0.506
1.489062,0.505
1.490050,0.506
1.491015,0.505
1.491987,0.505
1.492985,0.506
1.494045,0.506
1.495003,0.507
1.495984,0.506
1.497008,0.506
1.498027,0.504
1.498984,0.506
1.500014,0.508
1.500986,0.506
1.502044,0.506
1.503001,0.505
1.503992,0.508
1.505020,0.506
1.505985,0.506
1.507047,0.505
1.507984,0.506
1.509041,0.508
1.510015,0.505
1.510997,0.504
1.512039,0.508
1.513079,0.506
1.514043,0.507
1.514993,0.507
1.516037,0.507
1.517030,0.508
1.518045,0.506
1.519023,0.506
1.519996,0.506
1.521034,0.506
1.522014,0.504
1.523045,0.508
1.524004,0.505
1.524983,0.507
1.526005,0.504
1.527011,0.507
1.528050,0.506
1.529056,0.506
1.530029,0.505
1.530983,0.507
1.532040,0.506
1.533004,0.506
1.534034,0.506
1.534998,0.505
1.536011,0.507
1.537062,0.504
1.537989,0.505
1.539000,0.505
1.539983,0.507
1.541023,0.505
1.542053,0.506
1.543033,0.506
1.544032,0.506
1.545005,0.507
1.546050,0.506
1.547043,0.508
1.548050,0.506
1.549021,0.505
